No#,Computername , Username , Opened Date ,Opened Time, Problem Details , IT assigned , Status,Response Time, Closed Date ,Closure information,
INC#0001,VNHOC3N0051 , tranngo , 05-16-2018 ,12:57.1, pls_describe , nguyechu , in_progress , 11:17:58.61 , still_open , action_info , 
INC#0002,VNHOC1N0032 , nguyeant , 05-16-2018 ,11:20:53.81, pls_describe , nguyeant , done , 11:21:21.12 , Wed 05/16/2018 - 11:36:04.46 , action_info , 
INC#0003,VNHOC1N0032 , nguyeant , 05-16-2018 ,12:09:54.17, install Webex tool , nguyeant , done , 12:10:22.40 , Wed 05/16/2018 - 12:13:34.98 , already installed , 
INC#0004,VNHOC1N0032 , nguyeant , 05-16-2018 ,12:21:30.48, Request to fix net card , nguyeant , done , 12:21:55.27 , Wed 05/16/2018 - 12:23:01.62 , Fix by re-installing driver , 
INC#0005,VNHOC1N0032 , nguyeant , 05-16-2018 ,13:15:21.06, , nguyeant , done , NA , 
INC#0006,VNHOC1N0216 , nguyebao , 05-16-2018 ,13:24:24.43, pls_describe , notassigned , new , not_start_yet , still_open , action_info , 
INC#0007,VNHOC1N0032 , nguyeant , 05-16-2018 ,13:24:31.08, pls_describe , notassigned , new , not_start_yet , still_open , action_info , 
INC#0008,VNHOC1D0007 , buison , 05-16-2018 ,13:28:41.07, pls_describe , notassigned , new , not_start_yet , still_open , action_info , 
INC#0009,VNHOC1D0007 , buison , 05-16-2018 ,13:29:26.29, pls_describe , notassigned , new , not_start_yet , still_open , action_info , 
INC#00010,VNHOC1N0032 , nguyeant , 05-16-2018 ,13:32:08.44, , notassigned , new , NA , 
INC#00011,VNHOC1N0032 , nguyeant , 05-16-2018 ,13:33:58.15, pls_describe , notassigned , new , not_start_yet , still_open , action_info , 
INC#00012,VNHOC1N0032 , nguyeant , 05-16-2018 ,13:34:41.81, , notassigned , new , NA , 
INC#00013,VNHOC1N0032 , nguyeant , 05-16-2018 ,13:37:54.56, pls_describe , notassigned , new , not_start_yet , still_open , action_info , 
INC#00014,VNHOC1N0032 , nguyeant , 05-16-2018 ,13:40:43.39, pls_describe , notassigned , new , not_start_yet , still_open , action_info , 
INC#00015,VNHOC1N0032 , nguyeant
INC#00016,VNHOC5N0159 , huynhan , 05-28-2018 ,13:09:12.67, Install Rhino 6 , lyquoloc , done , 13:13:49.61 , still_open , Installed Rhino 6 , 
INC#00016,VNHOC1N0319 , phamlie , 05-28-2018 ,13:10:14.27, pls_describe , notassigned , new , not_start_yet , still_open , action_info , 
INC#00018,VNHOC1N0263 , phanan , 05-28-2018 ,13:26:08.02, pls_describe , buison , in_progress , 13:36:40.63 , still_open , action_info , 
INC#00019,VNHOC1N0263 , phanan , 05-28-2018 ,13:35:17.48, pls_describe , notassigned , new , not_start_yet , still_open , action_info , 
