No#,Computername , Username , Opened Date ,Opened Time, Problem Details , IT assigned , Status,Response Time, Closed Date ,Closure information,,,
INC#0001,VNHOC3N0051 , tranngo , 05-16-2018 ,12:57.1, pls_describe , nguyechu , in_progress , 11:17:58.61 , still_open , action_info , ,,
INC#0002,VNHOC1N0032 , nguyeant , 05-16-2018 ,20:53.8, pls_describe , nguyeant , done , 11:21:21.12 , Wed 05/16/2018 - 11:36:04.46 , action_info , ,,
INC#0003,VNHOC1N0032 , nguyeant , 05-16-2018 ,09:54.2, install Webex tool , nguyeant , done , 12:10:22.40 , Wed 05/16/2018 - 12:13:34.98 , already installed , ,,
INC#0004,VNHOC1N0032 , nguyeant , 05-16-2018 ,21:30.5, Request to fix net card , nguyeant , done , 12:21:55.27 , Wed 05/16/2018 - 12:23:01.62 , Fix by re-installing driver , ,,
INC#0005,VNHOC1N0032 , nguyeant , 05-16-2018 ,15:21.1, , nguyeant , done , NA , ,,,,
INC#0006,VNHOC1N0216 , nguyebao , 05-16-2018 ,24:24.4, pls_describe , notassigned , new , not_start_yet , still_open , action_info , ,,
INC#0007,VNHOC1N0032 , nguyeant , 05-16-2018 ,24:31.1, pls_describe , notassigned , new , not_start_yet , still_open , action_info , ,,
INC#0008,VNHOC1D0007 , buison , 05-16-2018 ,28:41.1, pls_describe , notassigned , new , not_start_yet , still_open , action_info , ,,
INC#0009,VNHOC1D0007 , buison , 05-16-2018 ,29:26.3, pls_describe , notassigned , new , not_start_yet , still_open , action_info , ,,
INC#00010,VNHOC1N0032 , nguyeant , 05-16-2018 ,32:08.4, , notassigned , new , NA , ,,,,
INC#00011,VNHOC1N0032 , nguyeant , 05-16-2018 ,33:58.1, pls_describe , notassigned , new , not_start_yet , still_open , action_info , ,,
INC#00012,VNHOC1N0032 , nguyeant , 05-16-2018 ,34:41.8, , notassigned , new , NA , ,,,,
INC#00013,VNHOC1N0032 , nguyeant , 05-16-2018 ,37:54.6, pls_describe , notassigned , new , not_start_yet , still_open , action_info , ,,
INC#00014,VNHOC1N0032 , nguyeant , 05-16-2018 ,40:43.4, pls_describe , notassigned , new , not_start_yet , still_open , action_info , ,,
INC#00015,VNHOC1N0032 , nguyeant , 05-16-2018 ,41:00.7, pls_describe , notassigned , new , not_start_yet , still_open , action_info , ,,
INC#00016,VNHOC1N0032 , nguyeant , 05-16-2018 ,41:28.2, Testing Helpdesk icon , nguyeant , done , 13:41:55.56 , Wed 05/16/2018 - 13:43:18.01 , The test is good , ,,
INC#00017,VNHOC1N0032 , nguyeant , 05-16-2018 ,47:06.5, pls_describe , notassigned , new , not_start_yet , still_open , action_info , ,,
INC#00018,VNHOC1N0032 , nguyeant , 05-16-2018 ,47:22.3, pls_describe , notassigned , new , not_start_yet , still_open , action_info , ,,
INC#00019,VNHOC1N0032 , nguyeant , 05-16-2018 ,47:51.8, pls_describe , notassigned , new , not_start_yet , still_open , action_info , ,,
INC#00020,VNHOC1N0032 , nguyeant , 05-16-2018 ,59:55.0, Test 1 , nguyeant , done , 15:23:43.01 , Wed 05/16/2018 - 15:24:15.44 , done test 1 , ,,
INC#00021,VNHOC1N0058 , nguyehie , 05-16-2018 ,43:03.7, pls_describe , notassigned , new , not_start_yet , still_open , action_info , ,,
INC#00022,VNHOC1N0032 , nguyeant , 05-16-2018 ,43:31.0, pls_describe , notassigned , new , not_start_yet , still_open , action_info , ,,
INC#00023,VNHOC1N0032 , nguyeant , 05-16-2018 ,43:49.2, pls_describe , notassigned , new , not_start_yet , still_open , action_info , ,,
INC#00023,VNHOC3N0052 , vopho , 05-16-2018 ,44:55.7, pls_describe , notassigned , new , not_start_yet , still_open , action_info , ,,
INC#00025,VNHOC1N0248 , tranhon , 05-16-2018 ,53:19.7, scan virus , nguyechu , done , 14:53:59.22 , Wed 05/16/2018 - 16:59:21.39 , run malwarebyte and cylance , ,,
INC#00026,VNHOC1N0270 , buithy , 05-16-2018 ,55:49.8, pls_describe , notassigned , new , not_start_yet , still_open , action_info , ,,
INC#00027,VNHOC1N0247 , nguyepha , 05-16-2018 ,06:02.9, pls_describe , notassigned , new , not_start_yet , still_open , action_info , ,,
INC#00028,VNHOC1N0032 , nguyeant , 05-16-2018 ,06:55.4, pls_describe , notassigned , new , not_start_yet , still_open , action_info , ,,
INC#00029,INGUR6N7070 , negivar , 06-08-2018 ,11:58:20.03, pls_describe , notassigned , new , not_start_yet , still_open , action_info , 
INC#00030,VNHOC5N0176 , dinhnha , 06-08-2018 ,13:52:21.02, pls_describe , notassigned , new , not_start_yet , still_open , action_info , 
INC#00031,VNHOC5N0176 , dinhnha , 06-08-2018 ,13:52:36.34, user cannot access Flexplm , nguyechu , done , 13:54:03.46 , Fri 06/08/2018 - 13:57:17.43 , clear cache , 
INC#00032,VNHOC7N0104 , dinhan , 06-08-2018 ,14:11:56.39, pls_describe , notassigned , new , not_start_yet , still_open , action_info , 
INC#00033,VNHOC7N0104 , dinhan , 06-08-2018 ,14:12:07.34, pls_describe , notassigned , new , not_start_yet , still_open , action_info , 
INC#00034,VNHOC7N0104 , dinhan , 06-08-2018 ,14:12:18.05, pls_describe , nguyechu , new , 14:13:12.98 , still_open , action_info , 
